card,set,fmt,units,tcgplayer,cardkingdom,manapool
Reanimate,Commander: The Lord of the Rings: Tales of Middle-earth,commander,2,7.7,11.99,7.92
Training Grounds,The List Reprints,commander,2,7.71,12.99,8.22
Flesh Duplicate,Universes Beyond: Doctor Who,commander,3,7.77,7.99,6.97
Wheel of Misfortune,Commander Legends,commander,2,7.8,10.99,6.58
Pyroblast,Ice Age,commander,8,7.91,12.99,8.040000000000001
Mindcrank,New Phyrexia,commander,1,7.94,11.99,7.81
Breath of Fury,Secret Lair Drop Series,commander,1,7.95,12.99,9.28
Scheming Symmetry,Core Set 2020,commander,1,7.96,12.99,8.3
Demonic Consultation,Secret Lair Countdown Kit,commander,12,7.99,9.49,6.18
Force of Vigor,Outlaws of Thunder Junction: Breaking News,commander,2,8.04,9.99,7.29
Mistrise Village,Tarkir: Dragonstorm,standard,5,8.07,13.99,7.49
Starting Town,FINAL FANTASY,commander,32,8.08,10.99,8.700000000000001
Blazemire Verge,Duskmourn: House of Horror,standard,1,8.18,12.99,8.9
Growing Rites of Itlimoc,Ixalan,commander,1,8.2,15.99,7.97
Steal Enchantment,Tempest,commander,2,8.33,5.99,6.24
Tataru Taru,Commander: FINAL FANTASY,commander,9,8.34,9.99,8.16
Sanctum of Eternity,Commander 2019,commander,1,8.4,13.99,6.76
Untimely Malfunction,Duskmourn: House of Horror,commander,1,8.43,11.99,7.45
"Yoshimaru, Ever Faithful",Commander: Kamigawa: Neon Dynasty,commander,1,8.51,9.49,6.25
Paradise Mantle,The List Reprints,commander,4,8.52,10.99,7.41
Chain of Smog,The List Reprints,commander,2,8.54,9.49,6.1000000000000005
Mental Misstep,New Phyrexia,commander,17,8.62,10.99,6.86
Mnemonic Betrayal,Guilds of Ravnica,commander,6,8.68,9.49,7.8
Swan Song,Commander: The Lord of the Rings: Tales of Middle-earth,commander,13,8.68,13.99,8.8
Jeweled Amulet,Ice Age,commander,1,8.69,9.49,4.28
Glint-Horn Buccaneer,Core Set 2020,commander,1,8.71,13.99,5.74
Deep Gnome Terramancer,Commander Legends: Battle for Baldur's Gate,commander,1,8.73,8.99,8.52
Overgrown Tomb,Lorwyn Eclipsed,commander,9,8.92,12.99,8.55
"Slicer, Hired Muscle",Universes Beyond: Transformers,commander,1,8.94,10.99,7.29
"Chimil, the Inner Sun",The Lost Caverns of Ixalan,commander,1,8.97,8.99,8.53
Watery Grave,Edge of Eternities,commander,29,8.99,14.99,8.42
"Jace, Wielder of Mysteries",War of the Spark,commander,1,9.09,11.99,8.59
Blood Crypt,Lorwyn Eclipsed,commander,13,9.1,13.99,8.85
Godless Shrine,Edge of Eternities,commander,7,9.14,13.99,8.22
Mystic Remora,Ice Age,commander,17,9.16,11.99,7.05
"Ajani, Nacatl Pariah",Modern Horizons 3,commander,1,9.17,13.99,6.65
Mindbreak Trap,Outlaws of Thunder Junction: Breaking News,commander,17,9.22,10.99,8.22
"Vilis, Broker of Blood",Core Set 2020,commander,1,9.27,14.99,8.83
"Kaito, Bane of Nightmares",Duskmourn: House of Horror,commander,5,9.32,16.99,8.33
"Chandra, Awakened Inferno",Core Set 2020,commander,1,9.34,13.99,7.82
Breeding Pool,Edge of Eternities,commander,10,9.36,15.99,8.33
Luxury Suite,Commander: Marvel Super Heroes,commander,2,9.42,13.99,9.55
Forbidden Orchard,Double Masters 2022,commander,2,9.59,12.99,7.79
Shatterskull Smashing,Zendikar Rising,commander,1,9.65,13.99,9.63
Wastewood Verge,Aetherdrift,standard,7,9.68,13.99,9.89
Underworld Breach,Theros Beyond Death,commander,11,9.8,11.99,7.05
Goblin Engineer,Modern Horizons,commander,2,9.94,10.99,9.15
Bleachbone Verge,Aetherdrift,standard,3,9.95,14.99,9.34
Raucous Theater,Murders at Karlov Manor,commander,3,10.01,15.99,9.77
Improvisation Capstone,Secrets of Strixhaven,standard,6,10.07,15.99,10.4
Tibalt's Trickery,Kaldheim,commander,1,10.08,16.99,9.37
"Derevi, Empyrial Tactician",Commander 2013,commander,2,10.09,8.49,6.19
Sacred Foundry,Gatecrash,commander,11,10.12,16.99,10.4
Meticulous Archive,Murders at Karlov Manor,standard,1,10.12,15.99,10.21
Redirect Lightning,Avatar: The Last Airbender,commander,7,10.13,16.99,9.83
Gloomlake Verge,Duskmourn: House of Horror,standard,15,10.14,12.99,9.1
The Legend of Roku,Avatar: The Last Airbender,standard,2,10.17,16.99,10.1
Mossborn Hydra,Foundations,standard,7,10.2,16.99,9.47
Ophidian Eye,Time Spiral,commander,2,10.56,15.99,10.09
Rootpath Purifier,Commander: The Brothers' War,commander,1,10.67,8.99,10.39
Eladamri's Call,Masters 25,commander,1,10.67,13.99,10.39
Noble Hierarch,Modern Masters 2015,commander,3,10.74,18.99,10.96
Ad Nauseam,Secrets of Strixhaven: Mystical Archive,commander,9,10.92,9.99,10.42
Praetor's Grasp,New Phyrexia,commander,7,11.03,16.99,9.25
"Aclazotz, Deepest Betrayal",The Lost Caverns of Ixalan,standard,1,11.04,11.99,9.37
Faerie Mastermind,Commander: Secrets of Strixhaven,commander,10,11.09,14.99,9.88
Clown Car,Unfinity,commander,1,11.1,16.99,11.12
Jet Medallion,Modern Horizons 3,commander,1,11.1,15.99,10.52
"Shang-Chi, Master of Kung Fu",Marvel Super Heroes,commander,2,11.15,16.99,10.04
Windswept Heath,Modern Horizons 3,commander,12,11.23,13.99,11.02
Giver of Runes,Modern Horizons,commander,1,11.26,11.99,10.1
Seething Song,9th Edition,commander,2,11.32,12.99,10.45
Steam Vents,Return to Ravnica,standard,42,11.52,19.99,10.7
Birds of Paradise,10th Edition,commander,7,11.52,17.99,11.34
"Takenuma, Abandoned Mire",Kamigawa: Neon Dynasty,commander,1,11.56,16.99,10.93
Moonshadow,Lorwyn Eclipsed,commander,5,11.58,16.99,10.13
Enduring Tenacity,Duskmourn: House of Horror,standard,4,11.73,16.99,11.98
Misdirection,Conspiracy,commander,5,11.76,18.99,11.93
Eldrazi Confluence,Commander: Modern Horizons 3,commander,1,11.76,16.99,10.46
City of Brass,Commander: Teenage Mutant Ninja Turtles,commander,20,11.81,15.99,10.26
"Uthros, Titanic Godcore",Edge of Eternities,standard,4,11.85,18.99,11.29
Dracogenesis,Promo Pack: Tarkir: Dragonstorm,standard,1,12.01,13.99,13.33
Invasion of Ikoria,March of the Machine,commander,2,12.14,15.99,12.3
Balthor the Defiled,Judgment,commander,1,12.17,12.99,9.69
Trickbind,Time Spiral,commander,1,12.31,11.99,7.29
"Lotho, Corrupt Shirriff",Universes Beyond: The Lord of the Rings: Tales of Middle-earth,commander,7,12.37,16.99,12.49
Emiel the Blessed,Jumpstart 2022,commander,2,12.49,11.99,13.63
Idyllic Tutor,Promo Pack: Theros Beyond Death,commander,2,12.55,13.99,13.07
Contamination,The List Reprints,commander,1,12.61,14.99,10.37
Underground Mortuary,Murders at Karlov Manor,standard,1,12.68,20.99,11.49
Sphere of Resistance,Secret Lair Drop Series,commander,1,12.79,11.99,12.18
Bloom Tender,The List Reprints,commander,2,12.86,16.99,13.31
Enduring Vitality,Promo Pack: Duskmourn: House of Horror,commander,4,13.08,17.99,20.05
Cabal Ritual,Torment,commander,12,13.16,18.99,11.88
Abhorrent Oculus,Promo Pack: Duskmourn: House of Horror,commander,1,13.18,21.99,14.5
Jennifer Walters,Marvel Super Heroes,standard,4,13.3,16.99,13.54
Chain of Vapor,Onslaught,commander,9,13.35,16.99,9.7
"Razaketh, the Foulblooded",Hour of Devastation,commander,1,13.58,16.99,13.3
Undercity Sewers,Murders at Karlov Manor,commander,10,13.6,20.99,13.65
"Kinnan, Bonder Prodigy",Ikoria: Lair of Behemoths,commander,2,13.76,17.99,13.51
"Valgavoth, Terror Eater",Promo Pack: Duskmourn: House of Horror,commander,1,13.84,21.99,15.79
Imperial Recruiter,Modern Horizons 2,commander,2,13.86,16.99,14.05
"Ral, Crackling Wit",Bloomburrow,standard,9,13.91,16.99,13.04
"Dihada, Binder of Wills",Commander: Dominaria United,commander,1,13.98,24.99,14.32
Drannith Magistrate,Ikoria: Lair of Behemoths,commander,4,14.1,19.99,12.57
Ashnod's Altar,Commander Masters,commander,1,14.15,19.99,14.32
Icetill Explorer,Edge of Eternities,standard,6,14.19,22.99,14.32
Cave-In,Mercadian Masques,commander,1,14.33,20.99,10.54
Thousand-Year Elixir,Commander 2021,commander,1,14.34,23.99,14.53
Warren Soultrader,Modern Horizons 3,commander,1,14.34,20.99,13.79
Vault of Champions,Commander Legends,commander,1,14.4,19.99,16.01
"Yavimaya, Cradle of Growth",Modern Horizons 2,commander,2,14.43,21.99,15.09
King T'Challa,Marvel Super Heroes,commander,4,14.53,16.99,13.09
Flooded Strand,Khans of Tarkir,commander,18,14.69,22.99,12.85
"Shinka, the Bloodsoaked Keep",The List Reprints,commander,1,14.77,18.99,14.25
Hammerheim,Legends,commander,1,14.78,24.99,8.33
Insidious Dreams,Torment,commander,1,14.84,13.99,14.99
"Urza, Lord High Artificer",Dominaria Remastered,commander,1,14.96,19.99,14.05
All Will Be One,Phyrexia: All Will Be One,commander,1,15.22,17.99,14.06
Thundering Falls,Murders at Karlov Manor,commander,1,15.47,20.99,14.69
Final Fortune,Classic Sixth Edition,commander,10,15.49,15.99,14.58
Snapcaster Mage,Innistrad,commander,1,15.59,19.99,14.16
Black Market Connections,Commander: The Lost Caverns of Ixalan,commander,1,15.66,20.99,14.37
Chalice of the Void,Mirrodin,commander,1,15.73,29.99,12.48
"Ashaya, Soul of the Wild",Zendikar Rising,commander,1,15.8,17.99,15.36
Spellseeker,Battlebond,commander,2,15.83,27.99,12.49
Disrupting Shoal,Ultimate Masters,commander,2,15.97,14.99,39.89
Subtlety,Modern Horizons 2,commander,1,16.13,17.99,11.58
Grand Abolisher,Commander Masters,commander,9,16.28,20.99,16.93
Bolas's Citadel,War of the Spark,commander,3,16.31,12.99,10.4
Gamble,Ultimate Masters,commander,12,16.37,19.99,16.67
Impossible Man,Commander: Marvel Super Heroes,commander,1,16.45,11.99,13.8
Dance of the Dead,Ice Age,commander,1,16.48,18.99,9.97
Mystical Tutor,Dominaria Remastered,commander,10,16.53,20.99,16.67
Diabolic Intent,Promo Pack: The Brothers' War,commander,8,16.65,18.99,18.65
Wooded Foothills,Khans of Tarkir,commander,14,16.76,24.99,16.42
Knuckles the Echidna,Secret Lair Drop Series,commander,2,16.91,21.99,16.67
Training Center,Commander Masters,commander,2,16.95,22.99,18.77
Voice of Victory,Tarkir: Dragonstorm,commander,15,16.98,27.99,17.44
Entomb,Eternal Masters,commander,1,17.14,24.99,14.58
Pact of Negation,Time Spiral: Remastered,commander,15,17.24,22.99,16.4
Grand Arbiter Augustin IV,The List Reprints,commander,1,17.28,16.99,17.19
Warrior's Oath,Double Masters 2022,commander,3,17.34,21.99,14.82
Strip Mine,Fourth Edition,commander,1,17.42,19.99,13.54
Altar of Dementia,Modern Horizons,commander,1,17.76,22.99,16.2
Bloodstained Mire,Khans of Tarkir,commander,15,17.79,24.99,17.830000000000002
Necromancy,Visions,commander,1,17.85,23.99,15.66
Sea of Clouds,Commander Legends: Battle for Baldur's Gate,commander,3,17.86,29.99,20.25
Beseech the Mirror,Promo Pack: Wilds of Eldraine,commander,10,17.93,23.99,20.14
Opposition Agent,Commander Legends,commander,8,17.95,22.99,18.75
Super Shredder,Teenage Mutant Ninja Turtles,commander,1,18.12,20.99,16.65
"Esika, God of the Tree",Kaldheim,commander,1,18.15,21.99,16.66
"Ob Nixilis, Captive Kingpin",March of the Machine: The Aftermath,commander,1,18.32,19.99,16.67
"Boseiju, Who Shelters All",Champions of Kamigawa,commander,1,18.38,20.99,14.55
Tarnished Citadel,Odyssey,commander,7,18.74,17.99,7.22
Grinding Station,Fifth Dawn,commander,4,19.08,19.99,14.19
"Tezzeret, Cruel Captain",Edge of Eternities,commander,4,19.26,27.99,17.7
Polluted Delta,Modern Horizons 3,commander,20,19.33,27.99,19.16
Pirated Copy,Jumpstart 2022,commander,1,19.45,22.99,18.18
Bloodchief Ascension,Zendikar,commander,1,20.0,27.99,14.58
Overlord of the Balemurk,Promo Pack: Duskmourn: House of Horror,standard,4,20.05,29.99,23.96
"Linvala, Keeper of Silence",Modern Masters 2017,commander,1,20.18,24.99,19.68
Riverpyre Verge,Aetherdrift,standard,30,20.19,27.99,20.1
"Lumra, Bellow of the Woods",Bloomburrow,commander,1,20.37,32.99,20.41
Hexing Squelcher,Lorwyn Eclipsed,commander,14,20.42,27.99,19.8
Goblin Welder,Secret Lair Drop Series,commander,1,21.9,23.99,25.51
Charismatic Conqueror,Commander: The Lost Caverns of Ixalan,commander,1,22.25,24.99,20.05
Thassa's Oracle,Theros Beyond Death,commander,11,23.84,27.99,20.0
Tiller Engine,Commander: Dominaria United,commander,1,24.02,37.99,24.9
The Cabbage Merchant,Avatar: The Last Airbender: Eternal-Legal,commander,5,24.04,37.99,23.15
City of Solitude,Visions,commander,1,24.52,22.99,14.58
"Mikaeus, the Unhallowed",Commander Masters,commander,1,25.1,27.99,26.02
Worldly Tutor,Classic Sixth Edition,commander,1,25.42,37.99,25.0
Grim Tutor,Core Set 2021,commander,4,25.66,27.99,23.96
Terror of the Peaks,Core Set 2021,standard,3,25.74,34.99,26.92
Phyrexian Tower,Modern Horizons 3,commander,7,26.05,42.99,25.41
The Meathook Massacre,Promo Pack: Innistrad: Midnight Hunt,commander,1,26.25,32.99,27.77
Deadly Rollick,Secret Lair Drop Series,commander,8,26.46,24.99,26.74
"Nissa, Resurgent Animist",March of the Machine: The Aftermath,commander,1,26.64,37.99,27.49
Verdant Catacombs,Modern Horizons 2,commander,19,27.01,37.99,29.05
"Otawara, Soaring City",Kamigawa: Neon Dynasty,commander,17,27.18,42.99,29.09
Green Sun's Zenith,Mirrodin Besieged,commander,4,27.26,37.99,27.09
Dosan the Falling Leaf,Champions of Kamigawa,commander,1,27.55,39.99,20.74
Natural Order,Portal,commander,1,27.57,39.99,28.35
Sylvan Library,Eternal Masters,commander,3,27.66,37.99,27.45
Morphic Pool,Battlebond,commander,3,28.0,37.99,29.17
Agadeem's Awakening,Zendikar Rising,commander,1,28.62,29.99,27.61
Arid Mesa,Modern Horizons 2,commander,15,28.7,42.99,30.41
Cyclonic Rift,Return to Ravnica,commander,2,29.53,39.99,28.22
Trinisphere,Darksteel,commander,2,29.56,54.99,30.95
Field of the Dead,Secret Lair Countdown Kit,commander,1,29.58,29.99,30.06
Talon Gates of Madara,Commander: Modern Horizons 3,commander,6,30.17,29.99,29.44
Serra Ascendant,The List Reprints,commander,1,30.18,29.99,29.17
Delighted Halfling,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,commander,6,30.29,37.99,27.66
Vaultborn Tyrant,Promo Pack: Lorwyn Eclipsed,standard,1,30.34,47.99,35.94
Marsh Flats,Modern Horizons 2,commander,19,30.45,42.99,29.68
Displacer Kitten,Commander Legends: Battle for Baldur's Gate,commander,3,30.94,34.99,28.12
"Yawgmoth, Thran Physician",Dominaria Remastered,commander,1,30.95,32.99,30.34
Consecrated Sphinx,Mirrodin Besieged,commander,1,31.36,29.99,26.35
Ouroboroid,Edge of Eternities,standard,6,31.7,39.99,30.05
Quantum Riddler,Edge of Eternities,standard,13,31.87,54.99,31.26
Exploration,Dominaria Remastered,commander,2,32.28,42.99,21.96
Scroll Rack,Commander Legends,commander,1,32.45,42.99,34.36
Mana Confluence,Journey Into Nyx,commander,20,32.5,47.99,32.730000000000004
Tainted Pact,Strixhaven: Mystical Archive,commander,14,32.54,37.99,31.26
"Birgi, God of Storytelling",Kaldheim,commander,7,32.57,42.99,33.6
"Delney, Streetwise Lookout",Promo Pack: Murders at Karlov Manor,commander,1,33.31,47.99,36.94
Solitude,Modern Horizons 2,commander,1,33.45,44.99,36.19
Portal to Phyrexia,Promo Pack: The Brothers' War,commander,1,33.64,54.99,38.81
Prismatic Vista,Modern Horizons,commander,2,34.03,47.99,34.74
Sakashima of a Thousand Faces,Commander Legends,commander,1,34.07,42.99,30.08
Lotus Petal,Tempest,commander,24,34.1,44.99,27.31
Bloodthirsty Conqueror,Promo Pack: Edge of Eternities,standard,3,34.23,39.99,35.95
Maralen of the Mornsong,Morningtide,commander,1,34.99,29.99,20.03
Enlightened Tutor,The List Reprints,commander,11,35.01,37.99,32.3
Tangle Wire,Nemesis,commander,1,35.26,32.99,22.45
Misty Rainforest,Modern Horizons 2,commander,18,35.37,39.99,36.45
"Wan Shi Tong, Librarian",Avatar: The Last Airbender,commander,9,35.76,54.99,35.84
Agatha's Soul Cauldron,Promo Pack: Wilds of Eldraine,commander,4,36.08,39.99,39.28
Necropotence,Fifth Edition,commander,9,36.75,44.99,40.41
Vivi Ornitier,FINAL FANTASY,commander,2,36.88,44.99,38.02
"Elspeth, Storm Slayer",Promo Pack: Tarkir: Dragonstorm,standard,2,37.05,47.99,38.55
Chromatic Orrery,Promo Pack: Core Set 2021,commander,1,37.24,54.99,40.62
Ranger-Captain of Eos,The List Reprints,commander,10,37.73,54.99,39.83
Scalding Tarn,Modern Horizons 2,commander,16,38.31,44.99,36.47
Ocelot Pride,Modern Horizons 3,commander,2,39.52,57.99,40.79
Sea Gate Restoration,Zendikar Rising,commander,2,39.77,54.99,40.14
Jeska's Will,Commander Legends: Battle for Baldur's Gate,commander,10,40.54,44.99,42.38
Urza's Saga,The List Reprints,commander,8,41.88,54.99,41.23
Food Chain,Double Masters 2022,commander,1,42.64,29.99,40.07
"Ragavan, Nimble Pilferer",Modern Horizons 2,commander,13,43.41,54.99,45.19
Sensei's Divining Top,Double Masters 2022,commander,4,44.19,54.99,40.1
Finale of Devastation,Promo Pack: Throne of Eldraine,commander,5,44.54,84.99,73.98
Scapeshift,Core Set 2019,commander,1,47.06,54.99,46.5
Badgermole Cub,Avatar: The Last Airbender,commander,20,49.32,79.99,48.97
Roaming Throne,Promo Pack: The Lost Caverns of Ixalan,commander,5,49.48,57.99,50.16
Orcish Bowmasters,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,commander,10,49.59,54.99,47.66
"Boseiju, Who Endures",Kamigawa: Neon Dynasty,commander,8,49.88,69.99,46.87
Smothering Tithe,Ravnica Allegiance,commander,9,50.01,69.99,50.47
Allosaurus Shepherd,Double Masters 2022,commander,1,50.58,54.99,44.28
Gemstone Caverns,Time Spiral,commander,25,50.65,84.99,52.97
Cavern of Souls,The List Reprints,commander,25,51.51,57.99,52.08
"Nykthos, Shrine to Nyx",Theros,commander,1,52.15,69.99,48.16
Force of Negation,Modern Horizons,commander,11,52.39,69.99,53.76
Mana Drain,Outlaws of Thunder Junction: Breaking News,commander,1,52.66,69.99,49.78
Vampiric Tutor,Commander Legends,commander,17,53.35,57.99,56.22
Amulet of Vigor,Worldwake,commander,1,53.47,57.99,42.12
Firestorm,Weatherlight,commander,1,53.58,57.99,35.99
Fierce Guardianship,Commander 2020,commander,16,54.27,84.99,56.83
"Urborg, Tomb of Yawgmoth",Magic 2015 (M15),commander,1,55.57,74.99,57.97
Esper Sentinel,Modern Horizons 2,commander,11,57.11,74.99,59.97
"Minamo, School at Water's Edge",Champions of Kamigawa,commander,1,61.51,74.99,46.92
Force of Will,Dominaria Remastered,commander,17,62.64,74.99,62.52
Rhystic Study,Prophecy,commander,17,62.91,74.99,46.68
Demonic Tutor,Revised Edition,commander,17,63.94,79.99,43.64
"Sun Quan, Lord of Wu",Portal Three Kingdoms,commander,1,64.14,84.99,68.77
Copy Artifact,Revised Edition,commander,1,65.02,89.99,36.24
Deflecting Swat,Commander 2020,commander,15,65.39,99.99,68.48
"Greymond, Avacyn's Stalwart",SLX Cards,commander,1,67.25,89.99,65.81
Spectacular Spider-Man,Play Promos,standard,2,73.74,99.99,78.15
Mox Amber,Dominaria,commander,17,76.28,94.99,77.36
"Sheoldred, the Apocalypse",Dominaria United,commander,1,95.98,139.99,102.11
Mana Vault,Fourth Edition,commander,25,96.9,119.99,75.02
Shallow Grave,Mirage,commander,1,99.75,159.99,104.2
The One Ring,Universes Beyond: The Lord of the Rings: Tales of Middle-earth,commander,6,105.96,129.99,99.0
Null Rod,Weatherlight,commander,1,113.7,129.99,88.55
Ancient Tomb,The List Reprints,commander,24,125.97,119.99,135.46
Chrome Mox,Eternal Masters,commander,23,152.41,179.99,148.05
Imperial Seal,Double Masters 2022,commander,15,163.39,199.99,171.93
Savannah,30th Anniversary Edition,commander,4,195.82,279.99,234.23
Bayou,30th Anniversary Edition,commander,5,232.81,229.99,247.48
Mox Opal,Modern Masters 2015,commander,17,234.22,329.99,218.82
Yawgmoth's Will,Urza's Saga,commander,5,245.26,279.99,171.93
Earthcraft,Tempest,commander,1,256.07,349.99,195.11
Tundra,30th Anniversary Edition,commander,9,278.32,279.99,241.6
Intuition,Tempest,commander,4,358.35,499.99,268.59000000000003
Plateau,Revised Edition,commander,7,375.14,399.99,258.74
Wheel of Fortune,Revised Edition,commander,4,379.5,499.99,248.8
Transmute Artifact,Antiquities,commander,2,396.45,649.99,304.26
Survival of the Fittest,Exodus,commander,1,396.95,549.99,304.40000000000003
Taiga,Revised Edition,commander,2,424.19,449.99,303.52
Scrubland,Revised Edition,commander,8,435.57,449.99,293.3
Grim Monolith,Urza's Legacy,commander,8,470.23,549.99,338.65000000000003
Nether Void,Legends,commander,1,507.99,599.99,656.44
Badlands,Revised Edition,commander,9,533.06,649.99,291.91
City of Traitors,Exodus,commander,17,538.42,649.99,435.06
Tropical Island,Revised Edition,commander,6,579.93,649.99,415.51
Timetwister,30th Anniversary Edition,commander,1,798.33,1099.99,989.88
Lion's Eye Diamond,Mirage,commander,14,816.91,899.99,750.24
Volcanic Island,Revised Edition,commander,10,861.87,1399.99,677.3000000000001
Underground Sea,Revised Edition,commander,12,987.2,1199.99,731.11
Mox Diamond,Stronghold,commander,22,1139.92,1499.99,928.48
Chains of Mephistopheles,Legends,commander,1,1183.06,1399.99,1094.1
Gaea's Cradle,Urza's Saga,commander,6,1622.57,2299.99,1087.74
The Tabernacle at Pendrell Vale,Legends,commander,1,2899.99,4299.99,2917.58
